*Panel elements
PID,EIDs
1,72876,72877,72878,72879
2,72884,72885,72886,72887

*Panel properties
PID,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,a,b,t,E,fy,Type
1,-45708.27,-1600.00,-13000.00,-45708.27,-1600.00,-9500.00,-45979.17,-2400.00,-9500.00,-45979.17,-2400.00,-13000.00,3500.00,844.62,30.0000,206000.0,355.0,Curved
2,-45551.41,-800.00,-13000.00,-45551.41,-800.00,-9500.00,-45708.27,-1600.00,-9500.00,-45708.27,-1600.00,-13000.00,3500.00,815.23,30.0000,206000.0,355.0,Curved
