*Stress RAOs
Unit : MPa

,ACC_x, , , , ,,ACC_y, , , , ,,ACC_z, , , , ,,ACC_rx, , , , ,,ACC_ry, , , , ,,ACC_rz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
73839,-0.00049741,-0.0025908,-0.00043709,-0.00088665,-0.0024488,-0.00049751,-7.4807E-05,-0.0007663,0.0011273,-0.00011585,-0.00079169,0.0011123,-0.00046351,-0.0015179,-1.9141E-05,-0.00089076,-0.0014475,-6.8377E-05,-1.445,-11.49,12.84,-1.839,-11.77,12.66,10.97,18.2,-2.642,23.37,17.42,-1.572,-3.395,-36.29,55.43,-5.358,-37.71,54.66
73840,-0.0019514,-0.003039,-0.00027578,-0.0021956,-0.003051,-0.00024875,-1.6323E-05,-0.00090325,0.0011049,-0.00010806,-0.0010026,0.0010965,-0.0016758,-0.0018631,0.00013881,-0.0020118,-0.0019749,0.00016577,-1.158,-13.16,12.11,-2.161,-14.39,11.99,40.9,27.17,-6.961,50.78,31.45,-7.657,0.4659,-43.05,54.17,-4.131,-48.15,53.68
73841,-0.0032205,-0.0039943,-6.2175E-05,-0.0035018,-0.0050862,-3.4497E-05,0.00032835,-0.0010601,0.0011331,0.00021998,-0.0012388,0.0011522,-0.0026038,-0.0026135,0.00044409,-0.0029164,-0.0036629,0.00046752,2.415,-15.07,11.87,1.021,-17.61,12.12,61.42,45.3,-16,69.53,72.7,-16.39,18.86,-50.41,55.5,13.5,-58.87,56.42
73846,-0.00052529,-0.0028198,-0.00036443,-0.00015263,-0.0026805,-0.00031888,-8.4171E-05,-0.00042095,0.0012678,-6.4598E-05,-0.00041557,0.0012423,-0.00053311,-0.00173,-8.6196E-05,-0.00015125,-0.0015944,-8.12E-05,-1.192,-6.163,14.86,-0.9345,-6.073,14.54,13.52,22.76,0.1379,3.14,19.05,0.5383,-3.898,-18.7,62.56,-3.12,-18.49,61.18
73847,-0.0013275,-0.0030004,-0.0001453,-0.00036306,-0.0024652,-0.00015713,-4.19E-05,-0.00048177,0.0012338,-0.00010002,-0.00050783,0.0012128,-0.0012811,-0.0017522,0.00013788,-0.00045706,-0.0012992,0.00010233,-0.6231,-6.881,14.08,-1.541,-7.273,13.84,32.9,22.14,-6.084,13.11,11.26,-4.829,-1.292,-21.67,60.66,-4.859,-23.33,59.55
73848,-0.0024704,-0.0034023,-5.9901E-05,-0.0018612,-0.0031548,-0.00014472,-1.5544E-05,-0.00058579,0.0012132,-6.454E-05,-0.00064757,0.0012036,-0.0021945,-0.0020396,0.00028306,-0.00172,-0.0018841,0.00020702,-0.5867,-8.145,13.3,-1.364,-9.011,13.2,54.02,29.04,-10.87,44.38,26.65,-8.996,0.7845,-26.69,59.55,-2.153,-30.02,59.08
73849,-0.0033404,-0.0042399,-6.0099E-05,-0.0036627,-0.0053068,-0.00010012,0.00020177,-0.00067838,0.0012569,0.00013521,-0.00079451,0.0012872,-0.0027794,-0.0027327,0.00029401,-0.0031736,-0.0037872,0.00027999,1.597,-9.204,12.88,0.7423,-10.85,13.32,65.28,46.91,-11.29,78.26,75.8,-11.14,12.45,-30.95,61.77,9.148,-36.29,63.32
73898,-0.003155,-0.0046102,-7.9746E-07,-0.0035172,-0.0057734,-1.9912E-06,4.6088E-05,-0.00028791,0.0013212,4.9547E-05,-0.00033646,0.0013591,-0.0028017,-0.0028064,0.00031549,-0.0029947,-0.0037551,0.0002905,0.5011,-3.29,13.53,0.5681,-3.821,14.08,69.36,44.3,-12.43,72.08,67.55,-11.43,4.173,-10.85,65.04,4.716,-12.49,66.93
73899,-0.0019721,-0.0039522,0.00033975,-0.0022346,-0.0036403,0.00019605,-3.8758E-05,-0.00024747,0.0012744,-2.7028E-05,-0.00024455,0.0012599,-0.0019093,-0.0022958,0.00044455,-0.0020797,-0.0021603,0.00033593,-0.4441,-2.72,13.86,-0.2296,-2.787,13.7,50.2,32.28,-12.97,53.15,30.73,-10.46,-0.8351,-9.151,62.34,-0.010626,-9.31,61.67
73900,-0.00058843,-0.0028279,0.0002712,-0.0013044,-0.003354,0.00028919,-5.1258E-05,-0.00020464,0.0012905,-1.6174E-05,-0.00020999,0.0012731,-0.00070265,-0.0016601,0.00039728,-0.001198,-0.0019152,0.0003802,-0.6962,-2.447,14.72,-0.022331,-2.329,14.49,19.77,20.55,-11.92,30.2,24.07,-10.87,-2.288,-7.875,63.25,0.065952,-7.628,62.3
