*Panel elements
PID=1, EIDs = 72420, 72421, 72451, 72450
PID=2, EIDs = 72424, 72455, 72425, 72454

Time (s),σx (PID=1),σy (PID=1),τxy (PID=1),UF (PID=1),Buckling Safety (PID=1),σx (PID=2),σy (PID=2),τxy (PID=2),UF (PID=2),Buckling Safety (PID=2)
0.00,11.644,33.884,6.099,0.077327,Pass,14.351,32.226,3.347,0.078420,Pass
0.01,11.580,33.232,6.041,0.075818,Pass,14.284,31.482,3.279,0.076748,Pass
0.03,11.426,31.644,5.829,0.072147,Pass,14.130,29.644,3.050,0.072660,Pass
0.04,11.184,29.140,5.469,0.066438,Pass,13.888,26.761,2.661,0.066369,Pass
0.05,10.864,25.822,4.993,0.059060,Pass,13.568,22.983,1.833,0.058323,Pass
0.06,10.480,21.843,4.449,0.050515,Pass,13.186,18.480,1.227,0.049207,Pass
0.08,10.050,17.367,3.891,0.041354,Pass,12.756,13.460,0.594,0.039662,Pass
0.09,9.592,12.598,3.354,0.032204,Pass,12.300,8.172,-0.166,0.030497,Pass
0.10,9.129,7.764,2.889,0.023743,Pass,11.838,2.882,-0.710,0.022693,Pass
0.11,8.681,0.506,2.551,0.014192,Pass,11.390,-4.435,-1.197,0.019278,Pass
0.13,8.265,-5.373,2.369,0.013065,Pass,10.973,-9.622,-1.476,0.018428,Pass
0.14,7.902,-12.817,2.360,0.012362,Pass,10.610,-13.560,-1.581,0.017682,Pass
0.15,7.606,-16.224,2.535,0.011821,Pass,10.312,-16.656,-1.495,0.017058,Pass
0.16,7.386,-18.783,2.884,0.011466,Pass,10.090,-18.795,-1.151,0.016572,Pass
0.17,7.252,-20.382,3.377,0.011315,Pass,9.953,-19.890,-0.724,0.016265,Pass
0.19,7.207,-20.977,4.004,0.011385,Pass,9.906,-19.932,-0.171,0.016151,Pass
0.20,7.253,-20.552,4.673,0.011663,Pass,9.947,-18.945,0.591,0.016247,Pass
0.21,7.384,-19.150,5.359,0.012139,Pass,10.075,-17.014,1.265,0.016549,Pass
0.22,7.594,-16.835,6.017,0.012788,Pass,10.282,-14.247,1.935,0.017045,Pass
0.24,7.873,-13.713,6.598,0.013566,Pass,10.558,-10.786,2.550,0.017707,Pass
0.25,8.206,-6.446,7.023,0.014403,Pass,10.889,-6.833,3.361,0.018554,Pass
0.26,8.578,-0.985,7.314,0.015268,Pass,11.259,-0.464,3.720,0.019413,Pass
0.28,8.972,3.317,7.446,0.019148,Pass,11.651,4.300,3.939,0.024450,Pass
0.29,9.376,10.192,7.405,0.029402,Pass,12.056,8.620,3.998,0.031166,Pass
0.30,9.774,14.454,7.191,0.036987,Pass,12.453,12.747,3.897,0.038357,Pass
0.31,10.148,18.493,6.845,0.044609,Pass,12.828,16.528,3.667,0.045427,Pass
0.32,10.486,22.154,6.399,0.051813,Pass,13.166,19.833,3.335,0.051919,Pass
0.34,10.775,25.312,5.890,0.058217,Pass,13.456,22.572,2.930,0.057490,Pass
0.35,11.007,27.871,5.370,0.063515,Pass,13.688,24.681,2.191,0.061847,Pass
0.36,11.176,29.751,4.895,0.067462,Pass,13.855,26.126,1.784,0.064931,Pass
0.38,11.278,30.925,4.501,0.069929,Pass,13.955,26.915,1.436,0.066641,Pass
0.39,11.313,31.370,4.235,0.070833,Pass,13.986,27.059,1.189,0.066966,Pass
0.40,11.284,31.124,4.128,0.070243,Pass,13.952,26.622,1.074,0.066032,Pass
0.41,11.197,30.232,4.203,0.068270,Pass,13.857,25.668,1.112,0.063982,Pass
0.43,11.057,28.772,4.463,0.065122,Pass,13.709,24.283,1.309,0.061025,Pass
0.44,10.875,26.843,4.897,0.061058,Pass,13.517,22.559,1.657,0.057399,Pass
0.45,10.664,24.578,5.483,0.056424,Pass,13.293,20.619,2.137,0.053399,Pass
0.46,10.433,22.093,6.187,0.051507,Pass,13.049,18.552,3.039,0.049307,Pass
0.47,10.196,19.544,6.956,0.046657,Pass,12.799,16.482,3.677,0.045292,Pass
0.49,9.967,17.063,7.746,0.042146,Pass,12.556,14.510,4.336,0.041598,Pass
0.50,9.758,14.797,8.494,0.038216,Pass,12.332,12.740,4.958,0.038405,Pass
0.51,9.580,12.871,9.158,0.035038,Pass,12.140,11.261,5.509,0.035836,Pass
0.52,9.444,11.401,9.699,0.032734,Pass,11.991,10.158,5.952,0.033983,Pass
0.54,9.359,10.488,10.072,0.031376,Pass,11.893,9.506,6.252,0.032910,Pass
0.55,9.332,10.209,10.250,0.031011,Pass,11.854,9.363,6.383,0.032670,Pass
0.56,9.367,10.607,10.229,0.031683,Pass,11.878,9.764,6.343,0.033307,Pass
0.57,9.468,11.727,10.011,0.033508,Pass,11.969,10.762,6.135,0.034941,Pass
0.59,9.636,13.567,9.614,0.036582,Pass,12.127,12.363,5.776,0.037662,Pass
0.60,9.868,16.111,9.069,0.041024,Pass,12.350,14.579,5.291,0.041593,Pass
0.61,10.161,19.313,8.416,0.046913,Pass,12.635,17.392,4.721,0.046829,Pass
0.63,10.510,23.106,7.703,0.054274,Pass,12.976,20.771,4.108,0.053429,Pass
0.64,10.906,27.390,6.982,0.063023,Pass,13.362,24.651,3.495,0.061364,Pass
0.65,11.339,32.066,6.305,0.073040,Pass,13.786,28.978,2.933,0.070595,Pass
0.66,11.796,36.985,5.714,0.084036,Pass,14.232,33.652,2.454,0.080949,Pass
0.68,12.264,42.006,5.256,0.095692,Pass,14.688,38.535,1.823,0.092102,Pass
0.69,12.730,46.984,4.952,0.107635,Pass,15.141,43.499,1.617,0.103823,Pass
0.70,13.178,51.762,4.820,0.119433,Pass,15.575,48.393,1.568,0.115674,Pass
0.71,13.598,56.210,4.860,0.130698,Pass,15.979,53.083,1.677,0.127281,Pass
0.73,13.975,60.196,5.062,0.141021,Pass,16.339,57.420,2.175,0.138253,Pass
0.74,14.300,63.611,5.394,0.150049,Pass,16.646,61.272,2.523,0.148127,Pass
0.75,14.563,66.368,5.826,0.157484,Pass,16.892,64.520,2.949,0.156569,Pass
0.76,14.758,68.397,6.309,0.163081,Pass,17.069,67.060,3.407,0.163244,Pass
0.77,14.884,69.694,6.799,0.166768,Pass,17.176,68.848,3.852,0.167984,Pass
