*Panel elements
PID=1, EIDs = 72420, 72421, 72451, 72450
PID=2, EIDs = 72424, 72455, 72425, 72454

Time (s),σx (PID=1),σy (PID=1),τxy (PID=1),UF (PID=1),Buckling Safety (PID=1),σx (PID=2),σy (PID=2),τxy (PID=2),UF (PID=2),Buckling Safety (PID=2)
0.00,11.818,35.752,5.950,0.081541,Pass,14.412,34.211,3.119,0.082602,Pass
0.01,11.756,35.130,5.898,0.080086,Pass,14.349,33.499,3.059,0.080982,Pass
0.03,11.609,33.617,5.681,0.076537,Pass,14.201,31.740,2.825,0.077009,Pass
0.04,11.378,31.235,5.310,0.071021,Pass,13.969,28.975,2.135,0.070830,Pass
0.05,11.075,28.097,4.817,0.063913,Pass,13.665,25.371,1.597,0.063054,Pass
0.06,10.713,24.344,4.257,0.055671,Pass,13.303,21.100,0.980,0.054184,Pass
0.08,10.307,20.129,3.679,0.046787,Pass,12.897,16.347,0.335,0.044815,Pass
0.09,9.875,15.645,3.133,0.037826,Pass,12.465,11.348,-0.422,0.035648,Pass
0.10,9.438,11.090,2.671,0.029343,Pass,12.027,6.341,-0.965,0.027392,Pass
0.11,9.016,4.230,2.334,0.018669,Pass,11.604,1.126,-1.443,0.020510,Pass
0.13,8.628,0.044,2.140,0.013753,Pass,11.214,-4.880,-1.731,0.018960,Pass
0.14,8.291,-4.988,2.127,0.013079,Pass,10.875,-9.066,-1.835,0.018261,Pass
0.15,8.017,-9.594,2.295,0.012573,Pass,10.598,-11.897,-1.754,0.017675,Pass
0.16,7.820,-13.731,2.634,0.012249,Pass,10.396,-13.771,-1.494,0.017231,Pass
0.17,7.707,-15.083,3.123,0.012125,Pass,10.278,-14.629,-0.999,0.016946,Pass
0.19,7.682,-15.438,3.739,0.012218,Pass,10.248,-14.439,-0.452,0.016857,Pass
0.20,7.744,-14.813,4.402,0.012516,Pass,10.303,-13.259,0.177,0.016966,Pass
0.21,7.892,-13.204,5.076,0.013012,Pass,10.445,-11.128,0.960,0.017288,Pass
0.22,8.117,-7.184,5.712,0.013674,Pass,10.664,-8.184,1.605,0.017796,Pass
