*Stress RAOs
Unit : MPa

,FP1_Fx, , , , ,,FP1_Fy, , , , ,,FP1_Fz, , , , ,,FP2_Fx, , , , ,,FP2_Fy, , , , ,,FP2_Fz, , , , ,,FP3_Fx, , , , ,,FP3_Fy, , , , ,,FP3_Fz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
72937,9.5764E-08,-6.9212E-08,2.3552E-08,1.9061E-07,-1.5959E-10,3.6367E-08,-7.264E-10,2.8338E-08,3.7394E-07,-3.0579E-08,2.6928E-08,3.6762E-07,-7.5683E-07,1.9036E-07,-2.3173E-07,-8.0772E-07,1.302E-07,-1.9804E-07,-1.6558E-07,-3.1944E-07,-3.2291E-08,-1.8954E-07,-2.9895E-07,-2.1226E-08,-1.9807E-08,-5.9011E-08,-2.2704E-09,-2.3275E-08,-5.3731E-08,-5.2196E-10,1.1499E-07,2.5203E-07,2.0102E-08,1.325E-07,2.3369E-07,1.1801E-08,-1.6557E-07,-3.1947E-07,-3.2383E-08,-1.8953E-07,-2.9898E-07,-2.1316E-08,1.0398E-08,3.0951E-08,1.1628E-09,1.222E-08,2.8185E-08,2.4678E-10,1.15E-07,2.5203E-07,2.0118E-08,1.3251E-07,2.337E-07,1.1818E-08
72938,1.3859E-08,1.8185E-08,2.2903E-08,3.9898E-08,-5.7441E-08,2.7129E-08,5.3209E-09,4.6068E-09,3.4274E-07,-2.9984E-08,1.0773E-11,3.2984E-07,-2.9852E-07,2.5065E-07,-2.1856E-07,-4.2573E-07,2.8038E-07,-1.9005E-07,-5.4989E-08,-2.3943E-07,-2.7306E-08,-1.1274E-07,-2.7783E-07,-2.8372E-08,-5.5596E-09,-4.2732E-08,-1.4527E-09,-1.5205E-08,-5.1513E-08,-1.9631E-09,3.671E-08,1.8673E-07,1.6319E-08,8.0791E-08,2.1948E-07,1.7616E-08,-5.4988E-08,-2.3944E-07,-2.7386E-08,-1.1274E-07,-2.7786E-07,-2.8449E-08,2.9192E-09,2.2421E-08,7.4199E-10,7.977E-09,2.7022E-08,1.011E-09,3.6714E-08,1.8673E-07,1.6344E-08,8.0792E-08,2.1948E-07,1.764E-08
72939,-8.5963E-09,-6.1287E-08,-1.7044E-09,3.6603E-08,4.3229E-09,1.0645E-08,2.9814E-08,-6.2095E-09,3.8263E-07,3.8958E-08,-1.3421E-09,3.6005E-07,-1.308E-07,4.266E-07,-1.0453E-07,-2.697E-07,3.1862E-07,-1.4604E-07,-4.5739E-08,-2.3583E-07,-5.3378E-09,-6.6093E-08,-2.2069E-07,-1.7319E-08,-6.3665E-09,-4.4502E-08,8.428E-10,-8.3129E-09,-3.959E-08,-8.7302E-10,3.3064E-08,1.8743E-07,1.5445E-09,4.6489E-08,1.7241E-07,1.0276E-08,-4.5741E-08,-2.3585E-07,-5.4221E-09,-6.61E-08,-2.2071E-07,-1.7399E-08,3.3384E-09,2.3347E-08,-4.6359E-10,4.3589E-09,2.0773E-08,4.3856E-10,3.3063E-08,1.8743E-07,1.5716E-09,4.649E-08,1.7241E-07,1.0303E-08
73838,-3.2033E-08,2.472E-08,-3.4495E-08,-1.4239E-08,2.268E-08,-2.6296E-08,-8.7482E-08,-1.2189E-08,2.7925E-07,-1.3395E-07,-3.5371E-08,2.6254E-07,2.4982E-08,3.1313E-07,3.9446E-08,-9.6464E-08,3.2035E-07,1.8542E-08,-1.4301E-08,-2.1971E-07,-3.041E-08,-2.9868E-08,-2.187E-07,-3.4973E-08,-2.7136E-09,-3.8355E-08,-9.1815E-09,-4.1523E-09,-3.8262E-08,-9.4813E-09,1.1388E-08,1.7011E-07,2.9157E-08,2.1587E-08,1.6945E-07,3.1969E-08,-1.4293E-08,-2.1966E-07,-3.0467E-08,-2.9846E-08,-2.1865E-07,-3.5028E-08,1.4265E-09,2.013E-08,4.8017E-09,2.1851E-09,2.0084E-08,4.9603E-09,1.1388E-08,1.7008E-07,2.918E-08,2.1582E-08,1.6942E-07,3.1992E-08
73839,-5.1396E-09,4.8752E-09,-3.7316E-08,2.9611E-08,-6.209E-09,-3.0998E-08,5.4396E-09,-7.734E-08,2.5909E-07,-3.7208E-08,-1.1498E-07,2.5109E-07,-1.3665E-07,2.8995E-07,1.0354E-07,-3.411E-07,2.9011E-07,9.5949E-08,-4.6007E-08,-2.2053E-07,-1.9744E-08,-7.8697E-08,-2.1E-07,-2.4888E-08,-6.2153E-09,-3.8968E-08,-7.9328E-09,-9.6818E-09,-3.7097E-08,-8.5853E-09,3.2983E-08,1.7143E-07,2.1789E-08,5.5043E-08,1.6323E-07,2.5416E-08,-4.6018E-08,-2.2047E-07,-1.9798E-08,-7.8692E-08,-2.0993E-07,-2.4941E-08,3.2519E-09,2.0457E-08,4.1473E-09,5.0775E-09,1.948E-08,4.49E-09,3.2974E-08,1.714E-07,2.1811E-08,5.5034E-08,1.632E-07,2.5437E-08
73840,8.1049E-08,-4.6789E-09,-4.0207E-08,1.6772E-07,-1.462E-09,-4.1162E-08,1.4319E-07,-1.5037E-07,2.6569E-07,6.8873E-08,-2.1959E-07,2.6305E-07,-5.8025E-07,1.3338E-07,1.7199E-07,-7.5109E-07,4.0232E-08,1.8544E-07,-1.6101E-07,-2.5264E-07,-6.2489E-09,-1.847E-07,-2.5618E-07,-3.96E-09,-2.2107E-08,-4.3882E-08,-6.1116E-09,-2.3019E-08,-4.2886E-08,-5.9231E-09,1.1594E-07,1.9529E-07,1.2117E-08,1.2961E-07,1.9569E-07,1.0652E-08,-1.6105E-07,-2.5256E-07,-6.307E-09,-1.8474E-07,-2.5608E-07,-4.0167E-09,1.1571E-08,2.3042E-08,3.1876E-09,1.2056E-08,2.2523E-08,3.0889E-09,1.1592E-07,1.9526E-07,1.2134E-08,1.2959E-07,1.9565E-07,1.0668E-08
73841,2.767E-07,4.1738E-08,-4.8641E-08,3.8012E-07,1.0895E-07,-6.1432E-08,5.4957E-07,-1.7949E-07,3.4971E-07,5.1535E-07,-1.9621E-07,3.55E-07,-8.3692E-07,-1.3877E-07,3.199E-07,-9.6169E-07,-5.7458E-07,3.223E-07,-2.5937E-07,-3.2598E-07,1.4955E-08,-2.8557E-07,-4.174E-07,1.7649E-08,-3.7159E-08,-5.4425E-08,-5.3603E-09,-3.8817E-08,-6.4709E-08,-5.2388E-09,1.8902E-07,2.488E-07,-1.705E-11,2.0507E-07,3.1134E-07,-1.5968E-09,-2.595E-07,-3.2588E-07,1.4893E-08,-2.857E-07,-4.1732E-07,1.7586E-08,1.9432E-08,2.8575E-08,2.7849E-09,2.0299E-08,3.396E-08,2.7203E-09,1.8898E-07,2.4875E-07,-5.7496E-12,2.0503E-07,3.1128E-07,-1.585E-09
73846,8.3575E-09,2.7951E-08,-1.1759E-08,-4.5924E-08,7.0729E-09,-1.1481E-08,-3.8283E-08,-9.0808E-09,3.4719E-07,-5.4258E-08,-1.9638E-08,3.2389E-07,-1.6401E-07,2.658E-07,6.1842E-08,4.0042E-09,3.4144E-07,5.5032E-08,-4.9455E-08,-2.4273E-07,-1.9942E-08,-1.8069E-08,-2.3174E-07,-1.7085E-08,-6.6698E-09,-4.227E-08,-6.378E-09,-3.6826E-09,-4.1318E-08,-5.5678E-09,3.5441E-08,1.8779E-07,1.9633E-08,1.4758E-08,1.8068E-07,1.6969E-08,-4.9446E-08,-2.4271E-07,-2.0017E-08,-1.8058E-08,-2.3171E-07,-1.7155E-08,3.501E-09,2.2182E-08,3.3261E-09,1.9337E-09,2.1683E-08,2.9028E-09,3.5436E-08,1.8777E-07,1.9659E-08,1.4756E-08,1.8066E-07,1.6995E-08
73847,8.0057E-08,5.6326E-09,-2.6729E-08,-2.9135E-08,-5.0298E-08,-2.8087E-08,-1.4939E-08,-5.3969E-08,3.1871E-07,-6.7157E-08,-8.435E-08,3.0132E-07,-4.7336E-07,2.6317E-07,1.5018E-07,-1.9777E-07,4.1593E-07,1.2564E-07,-1.1552E-07,-2.5152E-07,-1.4058E-09,-3.6311E-08,-2.08E-07,-2.9872E-09,-1.4113E-08,-4.5181E-08,-4.0318E-09,-4.2006E-09,-3.9652E-08,-3.8714E-09,8.065E-08,1.9659E-07,6.5737E-09,2.501E-08,1.659E-07,7.1648E-09,-1.1552E-07,-2.5149E-07,-1.4779E-09,-3.6309E-08,-2.0796E-07,-3.0569E-09,7.4022E-09,2.3713E-08,2.0952E-09,2.2013E-09,2.0814E-08,2.0119E-09,8.0645E-08,1.9657E-07,6.5974E-09,2.5006E-08,1.6588E-07,7.1879E-09
73848,2.1471E-07,1.6524E-08,-4.1743E-08,4.4604E-08,-6.2857E-08,-3.6906E-08,1.2994E-07,-9.0077E-08,3.32E-07,7.8819E-08,-1.3494E-07,3.2716E-07,-7.6926E-07,1.5744E-07,2.3491E-07,-6.7745E-07,1.5843E-07,2.0723E-07,-2.07E-07,-2.8049E-07,7.0927E-09,-1.5528E-07,-2.6039E-07,9.4495E-12,-2.6311E-08,-4.9753E-08,-3.7593E-09,-2.0209E-08,-4.6963E-08,-4.6021E-09,1.46E-07,2.1831E-07,1.7517E-09,1.1021E-07,2.038E-07,6.6643E-09,-2.0704E-07,-2.8045E-07,7.0142E-09,-1.553E-07,-2.6034E-07,-6.8639E-11,1.3786E-08,2.6113E-08,1.9459E-09,1.0586E-08,2.465E-08,2.3883E-09,1.4598E-07,2.1829E-07,1.769E-09,1.1019E-07,2.0378E-07,6.6809E-09
73849,3.8156E-07,5.7582E-08,-1.8261E-08,2.553E-07,4.006E-08,-2.3201E-08,3.4807E-07,-1.3053E-07,4.665E-07,2.8276E-07,-1.5544E-07,4.7763E-07,-8.6521E-07,-1.2763E-07,2.4014E-07,-1.1278E-06,-6.132E-07,2.4472E-07,-2.7492E-07,-3.4393E-07,7.5157E-09,-2.9986E-07,-4.3146E-07,4.9621E-09,-3.6384E-08,-5.8628E-08,-3.8481E-09,-3.9568E-08,-6.9052E-08,-4.6629E-09,1.9599E-07,2.6424E-07,1.6577E-09,2.136E-07,3.2496E-07,4.1703E-09,-2.7504E-07,-3.4387E-07,7.4033E-09,-2.9995E-07,-4.314E-07,4.85E-09,1.9043E-08,3.0773E-08,1.9706E-09,2.072E-08,3.6238E-08,2.3988E-09,1.9596E-07,2.6422E-07,1.6607E-09,2.1358E-07,3.2493E-07,4.1749E-09
73898,2.8487E-07,2.5312E-08,-6.5075E-08,3.3958E-07,2.2452E-09,-4.6217E-08,1.133E-07,-5.2149E-08,5.2041E-07,1.6419E-07,-4.2464E-08,5.3297E-07,-1.0007E-06,-2.0226E-08,2.6402E-07,-9.8598E-07,-3.1439E-07,2.4338E-07,-2.6195E-07,-3.7033E-07,8.1315E-09,-2.8941E-07,-4.6195E-07,7.4425E-09,-3.2565E-08,-6.5397E-08,-3.3909E-09,-3.8007E-08,-7.968E-08,-3.1695E-09,1.837E-07,2.8781E-07,6.7069E-10,2.059E-07,3.5626E-07,7.0801E-10,-2.6199E-07,-3.7032E-07,7.9923E-09,-2.8946E-07,-4.6194E-07,7.3021E-09,1.708E-08,3.4315E-08,1.7196E-09,1.9926E-08,4.1799E-08,1.6042E-09,1.8369E-07,2.878E-07,6.6907E-10,2.0589E-07,3.5625E-07,7.0782E-10
73899,9.5181E-08,-6.9396E-08,-2.3377E-08,1.9131E-07,-6.0499E-12,-3.6292E-08,-8.7338E-09,-5.6261E-08,3.7491E-07,1.9847E-08,-5.2038E-08,3.6773E-07,-7.7065E-07,1.8764E-07,2.3179E-07,-7.9711E-07,1.3552E-07,1.9723E-07,-1.6708E-07,-3.1976E-07,3.2249E-08,-1.885E-07,-2.9841E-07,2.1124E-08,-1.9952E-08,-5.9033E-08,2.2089E-09,-2.3197E-08,-5.3675E-08,4.5873E-10,1.1598E-07,2.5224E-07,-2.0015E-08,1.3185E-07,2.3334E-07,-1.168E-08,-1.6709E-07,-3.1975E-07,3.2157E-08,-1.8851E-07,-2.9839E-07,2.1035E-08,1.0463E-08,3.0973E-08,-1.1892E-09,1.2168E-08,2.8166E-08,-2.7028E-10,1.1598E-07,2.5223E-07,-1.9998E-08,1.3184E-07,2.3333E-07,-1.1664E-08
73900,1.2835E-08,1.7951E-08,-2.2678E-08,4.0572E-08,-5.7095E-08,-2.6978E-08,-7.8094E-09,-2.5142E-08,3.4321E-07,2.29E-08,-2.4809E-08,3.3039E-07,-3.0995E-07,2.4878E-07,2.1738E-07,-4.1482E-07,2.8561E-07,1.8901E-07,-5.612E-08,-2.3964E-07,2.717E-08,-1.1155E-07,-2.7734E-07,2.8261E-08,-5.6612E-09,-4.2748E-08,1.3997E-09,-1.5092E-08,-5.1466E-08,1.9145E-09,3.7447E-08,1.8686E-07,-1.6194E-08,8.0003E-08,2.1915E-07,-1.751E-08,-5.6122E-08,-2.3963E-07,2.7091E-08,-1.1155E-07,-2.7733E-07,2.8185E-08,2.9681E-09,2.2432E-08,-7.5554E-10,7.9165E-09,2.7003E-08,-1.0249E-09,3.7443E-08,1.8685E-07,-1.6169E-08,8.0001E-08,2.1915E-07,-1.7485E-08
73901,-8.8055E-09,-6.1197E-08,1.8744E-09,3.7215E-08,4.7326E-09,-1.0428E-08,-3.2707E-08,-1.6077E-08,3.824E-07,-4.2905E-08,-1.8801E-08,3.6074E-07,-1.3509E-07,4.2529E-07,1.0423E-07,-2.6521E-07,3.2018E-07,1.4647E-07,-4.636E-08,-2.3601E-07,5.387E-09,-6.5889E-08,-2.2056E-07,1.746E-08,-6.4377E-09,-4.4515E-08,-8.7479E-10,-8.3093E-09,-3.9572E-08,8.5479E-10,3.349E-08,1.8754E-07,-1.5484E-09,4.6379E-08,1.7232E-07,-1.0347E-08,-4.636E-08,-2.36E-07,5.3025E-09,-6.5883E-08,-2.2055E-07,1.7381E-08,3.3768E-09,2.3356E-08,4.3671E-10,4.3616E-09,2.0767E-08,-4.6891E-10,3.3491E-08,1.8753E-07,-1.5213E-09,4.6378E-08,1.7231E-07,-1.0319E-08
