*Stress RAOs
Unit : MPa

,TB_Fx, , , , ,,TB_Fy, , , , ,,TB_Fz, , , , ,,TB_Mx, , , , ,,TB_My, , , , ,,TB_Mz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
72703,1.7643E-07,3.1774E-06,-1.1226E-07,1.7942E-07,2.9086E-06,-1.1928E-07,2.824E-08,-1.417E-07,-9.6285E-07,1.4548E-08,-1.2335E-07,-9.7221E-07,9.1389E-08,6.3011E-07,-1.0382E-08,6.9702E-08,5.2805E-07,-1.4441E-08,4.2663E-13,1.2598E-11,-4.2227E-11,9.8526E-13,1.2843E-11,-4.2149E-11,9.3107E-12,1.7313E-10,4.1042E-12,8.892E-12,1.6537E-10,3.5162E-12,7.2199E-13,1.9481E-12,2.1708E-10,-1.4697E-12,5.8026E-13,2.1938E-10
72706,3.7445E-07,3.2937E-06,-2.8249E-07,4.8291E-07,3.393E-06,-2.662E-07,-1.1887E-08,-6.4815E-07,-8.3654E-07,-9.7301E-08,-6.7745E-07,-8.2969E-07,8.1269E-08,6.586E-07,6.6352E-08,9.6203E-08,6.8855E-07,8.0854E-08,9.1875E-13,3.6941E-11,-4.2913E-11,4.4325E-12,3.8706E-11,-4.2761E-11,1.2696E-11,1.6658E-10,1.2974E-11,1.75E-11,1.7157E-10,1.3709E-11,-4.3062E-13,4.2678E-12,2.164E-10,1.1739E-12,5.8644E-12,2.1852E-10
72707,2.2162E-07,2.9751E-06,-3.3576E-07,1.4047E-07,2.917E-06,-3.1118E-07,-3.6991E-08,-6.1887E-07,-8.9406E-07,-1.2388E-08,-6.0537E-07,-9.0237E-07,1.0058E-07,6.2903E-07,3.9225E-08,5.6047E-08,5.9671E-07,4.6005E-08,2.5909E-12,3.8337E-11,-4.1157E-11,1.4219E-12,3.7699E-11,-4.0933E-11,1.1128E-11,1.6637E-10,1.0411E-11,6.4946E-12,1.6352E-10,1.1126E-11,8.7267E-14,3.1211E-12,2.1688E-10,1.2093E-12,3.7862E-12,2.1903E-10
72732,3.2639E-07,3.8808E-06,5.0976E-09,6.1163E-07,4.4386E-06,2.6571E-09,-7.7908E-08,-2.7927E-07,-6.9134E-07,9.8623E-08,-2.4939E-07,-6.5795E-07,-2.3623E-08,4.806E-07,1.0484E-07,2.5601E-07,6.681E-07,1.4431E-07,9.1639E-13,1.0536E-11,-4.6001E-11,1.0107E-12,9.9742E-12,-4.6033E-11,8.3378E-12,1.5505E-10,1.0871E-11,2.4325E-11,1.7342E-10,1.2172E-11,-1.1311E-12,-7.0326E-13,2.1336E-10,2.351E-12,8.3328E-13,2.1613E-10
72733,6.1531E-07,3.8475E-06,-7.7228E-08,5.6997E-07,3.4984E-06,-5.4168E-08,-8.2502E-08,-3.106E-07,-7.7311E-07,8.4602E-08,-2.6016E-07,-7.3327E-07,1.0717E-07,5.8034E-07,4.1359E-08,1.534E-07,4.6339E-07,8.6416E-08,2.5301E-12,1.2184E-11,-4.4193E-11,-1.3258E-12,1.1231E-11,-4.3814E-11,2.031E-11,1.6793E-10,6.8424E-12,2.044E-11,1.5767E-10,9.5625E-12,-1.4327E-13,2.0692E-12,2.137E-10,1.5038E-12,2.4718E-12,2.1633E-10
72736,4.4063E-07,3.8166E-06,-4.6048E-07,4.1353E-07,3.7712E-06,-4.6891E-07,1.0936E-07,-6.8797E-07,-6.8053E-07,-2.0767E-07,-8E-07,-6.6379E-07,2.6035E-07,6.089E-07,6.6586E-08,-8.6023E-08,4.2193E-07,7.6162E-08,2.8588E-12,3.1509E-11,-4.4181E-11,1.9691E-12,3.0003E-11,-4.4219E-11,2.2528E-11,1.5687E-10,9.9645E-12,7.4509E-12,1.4805E-10,1.0049E-11,3.9556E-12,2.2764E-12,2.1469E-10,3.6398E-13,2.1501E-13,2.1717E-10
72737,4.6576E-07,3.5759E-06,-5.3206E-07,5.906E-07,3.6634E-06,-5.1019E-07,2.7949E-08,-6.6325E-07,-7.569E-07,-1.8328E-07,-7.292E-07,-7.483E-07,1.0131E-07,6.4842E-07,2.8994E-09,2.7159E-08,6.337E-07,3.6089E-08,4.2433E-13,3.4636E-11,-4.2637E-11,4.3032E-12,3.6347E-11,-4.2059E-11,1.5845E-11,1.635E-10,6.0389E-12,1.6494E-11,1.6612E-10,7.4544E-12,1.155E-12,3.5441E-12,2.1528E-10,-5.313E-13,3.0352E-12,2.1769E-10
72876,-1.3238E-07,-2.0058E-06,3.5046E-07,-2.5152E-07,-1.998E-06,3.8357E-07,-6.3686E-10,-9.022E-09,2.2757E-09,-9.6749E-10,-8.9956E-09,2.3484E-09,-6.3031E-08,-9.8416E-07,1.3991E-07,-1.3222E-07,-9.7967E-07,1.6033E-07,-1.3569E-16,-6.0292E-15,-4.9306E-15,-1.0214E-15,-6.265E-15,-4.8557E-15,-4.3066E-12,-6.4812E-11,1.1809E-11,-7.995E-12,-6.4572E-11,1.2816E-11,-9.883E-16,-7.7419E-15,-8.9483E-15,-2.514E-15,-8.2739E-15,-8.761E-15
72877,-3.83E-07,-2.022E-06,2.6465E-07,-6.4493E-07,-1.9266E-06,3.0726E-07,-1.4333E-09,-9.1581E-09,1.9725E-09,-2.2778E-09,-8.7231E-09,2.1227E-09,-2.0285E-07,-9.8809E-07,9.271E-08,-3.5045E-07,-9.4168E-07,1.1569E-07,-1.6997E-15,-6.8504E-15,-4.5849E-15,-1.727E-15,-6.7039E-15,-4.3197E-15,-1.2152E-11,-6.5397E-11,9.1124E-12,-2.0329E-11,-6.2311E-11,1.0458E-11,3.9715E-16,-9.8001E-15,-8.5058E-15,-1.0159E-15,-1.071E-14,-8.3909E-15
72878,-1.3512E-06,-2.3016E-06,1.5123E-07,-1.5168E-06,-2.3065E-06,1.3423E-07,-5.157E-09,-1.0316E-08,1.5169E-09,-5.4031E-09,-1.0082E-08,1.4678E-09,-7.1257E-07,-1.1309E-06,3.2607E-08,-8.2148E-07,-1.147E-06,2.2499E-08,-3.3471E-15,-7.6181E-15,-3.5726E-15,-3.4497E-15,-8.0769E-15,-3.371E-15,-4.2917E-11,-7.4348E-11,5.5144E-12,-4.785E-11,-7.4301E-11,4.9916E-12,3.5836E-15,-1.2176E-14,-8.6039E-15,2.579E-15,-1.3426E-14,-8.4607E-15
